created_time,message
12/10/2020 13:44,"HAHAHAHA,THIS IS AWARD FOR SHOPPE DAY THAT ONLY LEFT 2DAYS FROM NOW ON 12.12.2020.,SHOPPE AWARDS OKLAH BUT FOR THIS GLOBAL CERTIFICATE I REALLY2 CURIOUS/CANNOT IMAGINE,. ONE YEAR HOW MANY TIME WANTED TO STOP THAT LOJI2 WATER AROUND THIS RICHEST STATE"
12/10/2020 13:39,"Eh who is so ignorant to give you such award ? Or you manipulated data to look like you were best water management company? In any organisation, Quality and Deliverance is important.  In your case, well just look at your track record."
12/10/2020 12:30,Some awards can be bought.  Is this a legitimate award?  
12/10/2020 12:13,"Highly recommended for Water Disruption. U know, no need to say out this kind of things to other people."
12/13/2020 17:15,"Is this award based on........money amounted to get the award, or 100% based on your service? Just curious"
12/10/2020 12:11,I'm struggling to keep myself from bursting out laughing like a mad man. I'm sure you Air Selangor idiots timed this post so that it's after the recent water crisis was done with. Monthly water crises and you won this? Is the judging process for this award is as idiotic as your water crises prevention plan (or lack thereof)?🤣😂🤣
12/14/2020 4:00,"congratulations to national Water company of arab saudi being the winner, lol."
12/11/2020 13:44,“Highly commended” only ya hahaha don’t think they won!
12/10/2020 13:38,Omg who is blind here🙄 what kind of achievement is this. I know..... consistently achieving water cuts monthly. Yeah.....
12/10/2020 12:29,Every month cut off supply also can get awards... All judges blind ?
,
12/10/2020 12:25,Year of most water cuts!
12/10/2020 12:50,Award for the most water cut in a year?!!! 🤣🤣🤣
12/10/2020 12:11,Air Selangor does that means consumer wgo failed to pay the water bill also be rewarded with waiver as well? We will continues to support air selangor no matter u have water cut 10 times a month in the year of 2021. 
12/11/2020 23:28,"Delivering clean and safe water, when there is.   ...give them some credit la."
12/13/2020 23:23,Highly commended ya. Not winner. There’s a difference.
12/10/2020 12:04,Habis aku ni XD anugerah ke..tiap bulan keja aku angkat tong dari blik stor . Air elok masuk balik..air Kojol keluo balikkk.. begitu la seterusnya.
12/11/2020 17:54,"Let Malaysians be the judge of your achievements, not a piece of paper or a plastic trophy from a foreign organisation."
12/10/2020 13:35,Are you trying to be funny? With the water Disruption happen so frequent.
12/12/2020 8:32,Terima kasih atas usaha tekun syabas untuk mengembalikan air bersih dari air yang tercemar. Terima kasih Kerana mengembalikan nostalgia beratur dengan baldi untuk mendapatkan air. Terima kasih kerana mengesyorkan penjimatan air  di kalangan masyarakat umum.
12/11/2020 17:48,How much to pay for this?
12/10/2020 12:52,"Tiap bulan tak de air pun boleh dapat anugrah,.. luar biasa😁 "
12/10/2020 13:33,"keep it up the good work. kalau tak disebabkan tindakan cpt mereka, ramai yang keracunan air.. pihak lain punya salah, pihak yang lain yang dipersalahkan... 😤😤"
12/10/2020 12:36,"Is this a joke? Even drinking water in shops and supermarkets were cleaned out. I was parched from no water even for drinking.. Had to drink 100 plus.. Next time, have to bathe with 100plus too."
12/10/2020 14:32,Why i cant stop laughing looking at this post 🤣🤣🤣
12/10/2020 20:43,Tahniah air selangor...tolong pasti masalah air rumah selesai hr ni yer...lepas pencemaran paip pecah plak..cannot brain tol..
12/10/2020 12:34,Buat anugerah pastu bagi kat diri sendiri ke?
12/11/2020 19:10,How much u buy this awards??????????????
12/30/2020 13:02,"What a joke , it should be most consistency water cut during holidays and cmco award. Oh wait even now we are having no water at my area talking about consistency water cut"
12/11/2020 15:39,"Selamat ye air selangor, agak agak bila pencemaran air untuk bulan depan 2021 ... jangan lupa bagitahu awal awal, tak payah banyak action, itu piagam boleh print sendiri atau suruh orang kedai buatkan... ini hanya nak semua orang yang follow fb air selangor untuk mengucapkan TANIAH tapi tiap bulan kerja air selangor hanyalah pencemaran air, tutup air dan bill kami bengkak sebab mahal, bagus sangat kerja macam ini ~ TANIAH 👏👏👏"
12/10/2020 12:45,Aduh buat lawak plak air selangor..tersembur ayam goreng kunyit aku
12/10/2020 12:38,Ini anugarah setiap  bulan berhenti Air ke patutlah menang Tampa bertanding...🤣🤣🤣🤣
12/11/2020 21:37,"Tak ada gunanya kalau kerap tak ada air. It is utterly worthless, it could even be unbenificial, as the top management of Air Selangor would continue to be in cloud nine with big fat bonuses and increments whilst millions of users continue to suffer the anxeity of frequently interrupted water supply. No reasons accepted.... dah berapa tahun ""merdeka""? Dah berapa tahun Selanor ""negeri maju""? Dah berapa tahun berangan? Dah berapa tahun dosa terkumpul...?"
12/10/2020 12:03,It should be most water cuts in a year award?😓
12/10/2020 14:08,"Apa bagusnya award ni utk rakyat selangor? Tlg ye, provide schedule utk next gangguan bekalan"
12/13/2020 21:45,Award untuk kekerapan Tak de air bila nak ishtihar?  Pengarah syabas ni sedar ke idak shah alam kerap x de air?   Ade beza ke dapat award dgn ketiadaan air kat shah alam ni?
,
12/10/2020 12:31,🤣🤣🤣🤣 I’m sorry .. but I can’t help laughing and I m pretty sure I’m not laughing because I’m happy for you.. rather .. I’m amused.. by the way how much does it cost? 
12/11/2020 19:05,Shortlist ni dinilai darisegi kekerapan komunikasi n respon dengan pengguna serta kemesraan dan kesabaran memberi jawapan yang sopan dan selamat ketika melayan maki hamun dari pengguna... Tapi dipusing kononnya kecemerlangan membekalkan air yang bersih dan selamat...
12/10/2020 12:48,The best among the bad ones i guess....anyway do u hv the 2021 water cut takwim? 
12/10/2020 11:59,Penutup 2020 banyak benda yang hiburkan hati 🤣
12/10/2020 12:09,1st place out of only 1 agency competing.
12/10/2020 12:15,Minta calendar gangguan bekalan air bg 2021 blh tak? Nak bg pd ibu saya
12/10/2020 12:24,Boleh tau sape panel yang pilih? Nak tengok muke dieorang je....
12/10/2020 13:19,Pihak mana bagi anugerah tu? Tak buat homework ke ?
12/10/2020 12:14,Smlm xde air lps tu dapat award.  Syok sendiri la. Tggu pnghujung bln pula tgok ada air ke tak. Dari bln 9 smpai bln 12 asyik takde air je.
12/11/2020 23:46,Bayangkan... Gangguan mambang air sebulan sekali pun bleh dapat award. Negeri lain yang tak pernah dapat award tak tau la gangguan berapa kali sebulan.
12/10/2020 12:11,Only you contested?
12/10/2020 14:36,Beli mana weiiii award tu... Aku nak jugak
12/10/2020 12:53,Kenapa rumah saya masih tak ada air..dah masuk hari ke 4..saya buat aduan pun masih tak ada tindakan..no aduan 01106017
12/13/2020 0:33,"Pls la.... we are force to ""support"" you, you have monopolies the market. You tell me la.. which company can provide us water beside you?"
12/11/2020 23:14,next year Nobel Prize?
12/10/2020 12:11,Eyh air Selangor ni.. dapat award tu as perlian pun tak faham.. hmmm
12/10/2020 13:47,Tahniah.  ..   Siap2 campurkan gula sebelum hantar air kerumah2.
12/10/2020 12:11,Tahniah Air Selangor. Cuba google Sophomaniac dan fahamkan definisi tu.
12/10/2020 12:11,You sure you didn't photoshop this?
12/10/2020 12:19,macam phd jijan. takdak ape yang ajaibnya.
12/10/2020 12:29,I think air selangor should politely decline the award 🙄
12/10/2020 13:01,kg tasik permai ampang air x sampai² bunyi angin pun x ada lagi😡dah check ke???
12/11/2020 18:41,How much you pay for PR?
12/13/2020 22:58,"halo! bila nak ada air kat Tasek Tambahan???? Berapa kali dah tak ada air bulan ni.. kejap paip pecah, kejap air tercemar, paip pecah , air cemar.. bila nak baik pulih secara keseluruhan??"
12/11/2020 18:56,Seriously? What a joke of the year 2020.
,
12/10/2020 13:27,Pelik lah mcm ni teruk servis pun blh dpt award. Buta agaknyer yg bg award tu. Rmh sy kat ampang sampai skrg blm ada air. Air Selangor tido ker
12/10/2020 16:05,"Tahniah,walaupun dapat award tapi acara bulanan air takde dan pencemaran bau tetap akan ada sampai bila-bila..."
12/10/2020 12:06,Yg Ni mmg lawak ..Saya terhibur..Saya bagi 10 bintang
12/11/2020 19:32,Why every week or alternate week no water??
12/10/2020 11:55,ini tersangat lah kelakar & tak masuk akal
12/10/2020 16:57,So ada rebat bil air tak dah menang anugerah?
12/10/2020 12:28,Global award for 3rd World Country.. Bravo...
12/10/2020 12:03,"bulan ini, air mcm biasa. Lepas tu, back to norm kerr...."
12/10/2020 12:01,Kelvin Tan i like how proud they are. This Global Water Awards needs to keep up with the amount of water disruption we get EVERY MONTH. Lol.
12/10/2020 12:04,"Seriously,......1st give us water properly man.....every month water shut down.. nonsense"
12/10/2020 12:12,Haa dpt adward sb jd admin bertahan masalah ganguan air ke camna?
12/11/2020 18:46,Air Selangor  buat lawak kaa..nak supply kat domestic user pun problem... 
12/11/2020 15:15,Sendiri cetak sijil ke?
12/10/2020 12:08,Nk komen tahniah pun x sampai ati.tepuk dahi je le
12/10/2020 12:11,LyNa Mat Junoh jadi ko nk pindoh selangor nih
12/10/2020 12:01,Ok standby semua tadah air... acara bulanan akan berulang..🤣🤣🤣🤣
12/15/2020 14:30,"What a super joke of the century.  1) Pipeline build by Developer n collect money by them. No need to ""invest"" (F*** x1)   2) User paid for the cost of water pipe supply yet paid for the money to buy water.  (F*** x2)   3) Air Selangor sit there n get awarded not only by collecting money but happyly just said water supply polluted n water need to cut supply n consumers can't do anything. (F*** x 3)  4) No regular checking n maintenance, plant so frequent breakdown, yet consumers can't do anything. (F*** x 4)  5) most of the hse owner hv to install filter due to pooor water quality. (F*** x 5)  Dont u think u should feel shame to get this award. (unfortunately the guys given the award was not stay in Malaysia, I think so, if not he should think twice to give out this award) This is just my personal view, if not agreed, pls ignored n I apologise for the comments."
12/10/2020 12:07,award for monthly water cut and pollution 😂😂😂
12/10/2020 12:08,Every month no water supply
12/10/2020 12:32,Award lah sangat kan. Award untuk setiap bulan tak ada air mesti dapat kat air selangor punya. Tak ada syarikat air lain yang boleh menandingi anda. Tahniah lah ye.....
12/13/2020 12:19,I guess those who commended are delightfully NOT living in Selangor.
12/10/2020 16:49,Is it April 1st?
12/12/2020 12:08,"Hahahah ptt orng tggl Selangor yg jd pengadil, x makna langsung. Joke of the year 2020🤣"
12/10/2020 12:48,Joke of the year. Judge panel is either blind or bribed
1/2/2021 18:08,Jgn main main la... award terbaik? Syok sendiri ah??? 
,
12/10/2020 12:11,Punchline tak bole bawak bincang🤣🤣🤣🤣🤣
12/10/2020 15:50,What are you folks smoking?
12/10/2020 13:04,Omg what a joke... lots of delusional people and societies around lol
12/12/2020 16:24,Congratulations! You prove your problem solving skill! Just because only you will have problem
12/10/2020 17:07,AWARDS OF NO WATER !
12/13/2020 21:27,Tentera Troll Kebangsaan Malaysia sni ada anugerah... bole bgtau kt sume org x? 
12/13/2020 15:57,Only Air Selangor participated in this prestigious award category 😂
12/10/2020 12:02,Huntonglahh.... Dalam pada kerap bagi gangguan bekalan air dapat jugak anugerah cemerlang ye? Tahniah 👍 anda thorbaekk.
12/10/2020 12:04,Tiap2 bulan air takde pun dapat award? 
12/10/2020 12:19,Ptot nya dpt achievement of failure..
12/10/2020 11:58,Biggest joke in the Universe!!!!
12/11/2020 18:30,More like Award for water disruption
12/10/2020 12:09,"The water no problem but ho....u know la, can I know next month schedule water cut off??"
12/10/2020 19:47,What kind of bs is this? https://globalwaterawards.com/2020-public-water-agency-of-the-year/
12/10/2020 12:36,Anugerah beli ni 🤣
12/10/2020 12:11,Tahniah Air Selangor
12/11/2020 9:44,Air Selangor Award ni diberi berdasarkan kriteria apa? Adakah berdasarkan kekerapan gangguan bekalan air yang terjadi ke? Mesti terdapat sekurang-kurangnya satu gangguan bekalan setiap bulan? Begitukah? Tolong jelaskan. Ramai yang komfius ni.
12/12/2020 16:32,Korang tahu tak? kerana korang punya servis yang konon2nya terbaik telah menyebabkan aku terpaksa beli kolah dan baldi sebab takut air tak de...   yang memberikan award ni kepada Air Selangor memang bongok!!
12/10/2020 13:10,anugerah beli ni
12/10/2020 19:54,Proud to be a Selangorian 🤥
12/10/2020 12:14,Are you serious Air Selangor??? 😂😂🤣
12/11/2020 17:46,"Are you kidding us Air Selangor? Funniest joke in 2020, maybe for the decade to come too 🤣🤣🤣"
12/10/2020 12:57,Ini confirm undi diri sendiri atau panel   ada something wrong leh check kt tanjung rambutan
12/12/2020 19:34,Joke of the year Award 2020
12/10/2020 13:34,mesti suruh intern edit ni hmm notbad. joke of the year
,
12/10/2020 12:35,April 1st is still long way to go. 
12/10/2020 13:17,Put tank in a mall la
12/10/2020 12:13,Biggest joke of the century.......
12/10/2020 12:11,Masuk bakul angkat sendiri nampak 😂 btw congrats lah 🎊
12/10/2020 13:41,This is a joke right?
12/10/2020 19:34,Tahniah air selangor 
12/11/2020 20:34,Ultimate clownery 
12/10/2020 12:13,Haha. Yg bagi award ni agaknya kena rasuah agaknya
12/10/2020 13:47,Buat lawak ke ni?
12/10/2020 19:35,Tahniah. Terbaik!
12/13/2020 16:05,sebulan sekali gangguan air.. . tak sabar tunggu gangguan bulan depan
12/10/2020 12:19,Anugerah syok sendiri ke? Lol 
12/11/2020 19:26,Joker of the Year
12/10/2020 12:11,Hahahahaha seriusss arr ...aku Ulang baca banyak kali kot 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
12/10/2020 12:13,Syok sendiri. X malu ka😁
12/11/2020 19:47,Tahniah walaupun setiap bulan ada masalah air
12/14/2020 13:13,Kami rakyat selangor yang sepatutnya terima anugerah sebab bersabar dengan perkhidmatan teruk yang Air Selangor berikan dalam menangani krisis pencemaran air. Pui!
12/10/2020 20:02,Tahniah lerrr
12/10/2020 12:05,Lama x tengok maharaja lawak..this is joke of the year
12/11/2020 17:38,are you joking? 🤣
12/31/2020 14:38,Best joke of the year..in globally....
12/10/2020 12:36,Ada jugak org nk bg award kt air selangor... buta ka pa...
12/10/2020 16:24,Something mistaken 
12/10/2020 12:32,Tahniah la.. tapi sendiri rasa malu kan dapat?
12/10/2020 12:00,Harap jadual gangguan air dah keluar. Senang nak stanby. 
,
12/10/2020 13:13,Award ni beli kat mana?
12/11/2020 17:21,R u sure!? Seriously!? Why always stop water this few years.
12/10/2020 12:11,Luqman Ariffin Apik Syapik putrajaya selangor ada apa2 komen 😂
12/10/2020 18:17,"#air selangor  Pukul  5:45 pm i call customer service , staff  bagitau jalan 6/9 tasik tambahan paip pecah , 6:00 pm i sampai sana tengok 👀 Mana ada paip pecah????? Please la jangan cakap bohong  😡😡😡😡😡"
12/10/2020 12:22,Award for what?
12/10/2020 11:59,Setiap bulan ada masalah air ni mcm mane x masuk akal?semua main hentam je
12/10/2020 13:31,Dia dpt anugerah kita tak dpt air
12/10/2020 14:55,Wow nie mesti dapat  ANUGERAH LAWAK OF THE YEAR
12/10/2020 12:05,JOM RAMAI2 REPORT SPRM 🤣🤣🤣
12/10/2020 11:59,Are you serious???
12/12/2020 8:06,"Time and place, guys. Time and place. "
12/10/2020 19:53,Tahniah Air Selangor
12/11/2020 21:53,tahniah le weii
12/10/2020 12:09,Should give u a broom award
12/10/2020 12:04,Ni troll ke apa? 😂
12/13/2020 8:58,Shortlisted pon kira achievement ek. Power lah angkat bakul sndiri
12/10/2020 12:18,"Dengan prestasi yg terok mcm ni, berani nak bg rakyat tengok award lg.. 🤦‍♂️"
12/11/2020 13:50,Tahniah Air Selangor...kami rakyat sentiasa menyokong anda...kami akan terus berjuang demi kemenangan anda..kerana kemenangan anda kemegahan kami dan kemakmuran kita bersama..
12/13/2020 13:52,page pun penuh dengan post pasal gangguan air macam mana tah boleh dapat global award. rasanya kalau bandingkan dengan syarikat air negeri lain di Malaysia ni pun takde yang buat acara gangguan air setiap bulan . kelakar sangat
12/10/2020 12:06,Hahaha..  Jus wondering if u guys getting tis award.. Jus imagine how worst other agency could be.. Ohmaigadddd
12/12/2020 19:42,Jual aje la ke SAJ. Biar SAJ sahaja selesaikan masalah air kat sana
12/11/2020 17:48,Kena bayar kan? Untuk dapatkan this award.
12/10/2020 13:07,Is this a joke?
12/13/2020 16:10,Nk menang awrd rakyat kene tanggung seksa . Tahniah
12/10/2020 11:59,Lawan dengan air kelantan ke?
,
12/13/2020 14:30,"Aku dah gtau dah! Konon ada gangguan..Sendiri hantar, sendiri pulihkan.. Sekarang dah disihirnya pulak menatang ni sampai dapat anugerah.."
12/10/2020 16:38,Cmne leh menang awards...lawakkkk sgttt
12/11/2020 13:27,Shortlisted?
12/10/2020 15:27,Rase mcm nk mencarott jer..
12/10/2020 12:18,Mana drone?
12/10/2020 12:09,are you kidding?😂
12/10/2020 16:14,boleh jadi meme ni
12/13/2020 16:59,Maybe they qualified on water cuts !!
12/13/2020 11:41,You deserve it....disebabkn air selangor la sy sekarang tidak suka membazir air.
12/10/2020 12:05,Ini betul2 buat lawak dah. The most ridiculous joke ever! 👎🏻👎🏻
12/11/2020 22:24,Why waisted money to buy  nonsense?
12/10/2020 12:12,Syok sendiri nehhhhh. Nehi Nehi Nehi la hi nehi
12/11/2020 15:10,Shorttlisted je kan... bkn menang pun
12/12/2020 7:09,Lawaks of the day! Air bersih kategori sungai klang kot 🤣🤣
12/13/2020 21:32,Syok lah korang puji2 esok xde air lg 🤣🤣🤣🤣
12/10/2020 14:02,Beritq comedy betul
12/10/2020 11:57,Joke of end 2020?
12/12/2020 12:26,terbaik la org siang mlm angkut air basuh berak pakai tisu .. mndi wajib sssh aihhhhbh
12/24/2020 6:22,Baguslah sangat dapat anugerah tuh nnti bawa jelajah yor
12/10/2020 13:18,"Wait, what?"
12/10/2020 12:34,Ak rasa salah award ni. Sp lah badigol yg bg award ni...
12/10/2020 12:28,Is this a joke? 
12/11/2020 17:52,2020 Best joke ever 💩💩👾
12/10/2020 19:13,Kong kali kong #hebat
12/10/2020 13:16,Cmne nk jd ceo air selangor??
,
12/13/2020 3:31,Bkn dpt award pun.. hahaha
12/10/2020 12:09,Nor Shafiqah Sakinah.. Tgk ni
12/14/2020 22:45,Hahahahahahaaaa.... Homaigad... Self-claimed or wat?????   Berani betol letak pujian mcm nie kat page sendiri..... 
12/10/2020 20:04,Hazizul Bakar tahniah mate
12/10/2020 13:34,Kurang asam. Siapalah yg bagi award kat Air Selangor ni? Buta ke apa? Takde line internet ko🤦🏻‍♂️
12/10/2020 13:25,gila apa nak menang award😂😂bengong
12/13/2020 20:25,Kau sembang macam menang anugerah la sibat
12/12/2020 3:11,YOUR MOTHER IS GREEN
12/10/2020 12:09,Serius lah dpt award...mcm x layak je 🤣🤣🤣
12/11/2020 10:29,Munir Naqiuddin Hakim Jaafar fuyoo air selenge menang award
12/10/2020 12:17,Gampang tiap bulan ada masalah air menang award puiii
12/12/2020 10:35,Sendiri layan sendiri syok..sendiri buat drama sendiri dapat award.. biasalah.. ini Malaysia..
12/10/2020 13:43,kahkahkah.. pakai kabel ke?
12/12/2020 0:59,Kriteria apa nk dpt award  ni?? Tanya je
12/10/2020 12:05,Ni fake news ker...🤣
12/11/2020 10:28,"Air Selangor  nama takda pun dalam ni .  Keputusan 2020 Public Water Agency of The Year .  Pemenang : National Water Company Saudi Arabia . Kepujian : Gujarat Water Infrastructure, Ltd, India  https://globalwaterawards.com/2020-public-water-agency-of-the-year/  Copy paste ttkm"
12/11/2020 16:41,Clean and safe water with all the disruptive in water supply? Anything for you to proud of??? You build your reputation by sacrifice the end users as the sole public water supplier in Klang Valley??!
12/12/2020 10:04,"This agency is real, the award of that category (Public Water Agency of the year) is also real.  Under this category, the website only mentioned award for ""winner"" and ""distinction"". Both are not Air Selangor.  Getting award for ""highly recommend"" is not mentioned anywhere in the website.  My personal guess, best scenario, this ""highly recommended award"" are given to those successfully short listed in the award or worst case just a participation certificate.  https://globalwaterawards.com/2020-public-water-agency-of-the-year/"
12/29/2020 13:26,"Kudos. As far as problem solving and troubleshooting you have tried to do your best.  To be fair, it should be emphasized that ministerial departments responsible for the environment and punishing offender companies should also do their part to eradicate existing polluters which is the current serious root of the contamination problems.  Other than pollution issues, going forward you only need to work on planning to anticipate and preventive/ maintenance measures to avoid unnecessary stress and headaches for you and your consumers."
12/10/2020 12:11,Minta jadual penutupan air untuk januari.boleh x?
12/11/2020 21:52,how much you bribe to get this award? MAFA!
