message,created_time
"Don’t bow to the Wu Mau...see what I did there? 😉  Seriously, you never have to apologize for criticizing a thug regime who has concentration camps for ethnic minorities, forced organ harvesting, and has annexed every one of its neighbors’ territories, except Russia, but I hear they have their eyes on Vladivostok. ",1/14/2021 10:23
,
,
So where is freedom of speech?,1/14/2021 9:45
"Robert Huang he decided to exercise personal accountability instead. Like responsible, normal people who understand speech can have consequences do. ",1/14/2021 9:47
Al Wells what would've been the consequences in this case?,1/14/2021 10:00
Daniel P Sousa not sure. But evidently Uncle Rog felt there may be some. He did the right thing. ,1/14/2021 10:11
"Robert Huang Yeah, where is the freedom of speech in China?",1/14/2021 10:45
"Robert Huang of course he has freedom of speech, yet the viewers also have the freedom not to watch his video no more ",1/14/2021 11:08
Robert Huang no such thing as freedom of speech in China ,1/14/2021 17:03
Al Wells accountability for what? Criticising the Chinese regime which is the most deplorable government in the world? ,1/14/2021 17:04
Alex Heron seems like the CCP has gotten to him. He’s not even a Chinese national. He’s Malaysian. ,1/14/2021 18:47
"He just bowed to the money, that's what he chose",1/14/2021 18:52
,
,
The Chinese government deserves to be criticized,1/14/2021 9:40
"Michael Condee STAY AT HOME !!!   Data Entry   Position Available now   (Start as soon as tomorrow!)  Pay: 20/Hr  Monday-Friday   GREAT FOR RETIREES AND YOUNG ADULTS  No Experience Needed! We Train! Bonuses! Paid Weekly via Direct Deposit /Check depend on your choice Full Benefits, 5 Days work in a week  Message me if your are interested for more info!!!  Serious Inquiries only!!!  ",1/14/2021 9:44
Michael Condee Donald trump deserves to be criticised,1/15/2021 10:00
,
,
"Maybe Uncle Roger can review the fried rice being served in the Uyghur “re-education camps”, see if they’re using real chili paste  ",1/14/2021 12:48
,
,
"PRChina has a strategy of using soft power to change the discourse. For example investing in Africa under its ""one belt one road"" policy. (plundering Africa and Australia for minerals for cell phone batteries for its factories)  Inter alia  Giving the vaccine for free/low upfront cost using the state owned enterprise Sinopharm to needy desperate countries (Indonesia Myanmar Malaysia Singapore etc) to bring them into China's orbit in order to exert CONTROL. Nothing but incentives and bribes to these countries to not raise anything about Tibet, Dalai Lama, incursion in the South China Sea, Taiwan, brain washing of Uighurs, violation of one country two systems rule in Hong Kong etc. This is modern day imperialism and must be stopped! PRChina is f**king dangerous! You have been warned!",1/14/2021 15:57
All the while Five Eyes bomb the Middle east under the pretext of liberation and kill millions of innocent lives.. Shut your crap,1/15/2021 8:40
,
,
"The guy just makes funny videos, who cares about his political preferences",1/14/2021 10:19
Raymond I kinda agree. Some issues are so sensitive but I do not want to curb comedy. ,1/14/2021 10:22
"Raymond Wong Someone apologizing for incorrect information regarding 六四 and Uighur genocide, pfff yeah, political preferences matter.",1/14/2021 10:45
"well he made a statement that apparently the other youtuber's (Mikey Chen) views are ""incorrect"" just to please his Chinese fans.  He should have just been neutral and not misinform the public about Mikey Chen's views.",1/14/2021 12:22
"Raymond Wong apparently china does, infuriating at him just for chilling with some how guy who had a political comment about china previously",1/14/2021 13:37
Treenah Joy and what’s wrong with that? He has the right to have his own opinion and it’s not for you to decide what his opinions should be,1/14/2021 13:40
Winnie Pooh doesn't think the same,1/14/2021 15:09
,
,
You mean the Chinese communist dictatorship that puts Uygers in re-education / death camps ?  You mean the same China BBC ignored the Hong Kong riots on?,1/14/2021 9:42
Josh Hancks Every. Single.Time. https://www.bbc.com/news/topics/c95yz8vxvy8t/hong-kong-anti-government-protests,1/14/2021 10:01
Daniel P Sousa I guess in 24 hour news cycle it just keeps getting buried,1/14/2021 10:08
,
,
Speech is only Free if you're not in China.,1/14/2021 19:14
"not anymore, Democrats in the US have deemed you have no right to freedom of speech because if you disagree with them it is hate speech and you must be canceled.  Democrats like Feinstein, Boxer and Swalwell have been proven to work for the Chinese government.",1/14/2021 21:10
Clinton Longwell free speech and calling for violence is not the same  !!,1/14/2021 22:19
"Bunny Tan oh really, so why are people being censored solely for their beliefs that do not align with liberal democrats?  Parler shut down solely because the majority of users were conservatives, liberal trolls used it to make nasty and violent comments and they were blocked.  Why are people being canceled solely because they worked for President Trump?  You don't know what you are talking about and liberals will be censored by the communists here like in China.",1/14/2021 22:25
,
,
How is this news? The UK govt has been cowering in its response to abuse of Uighurs in China.,1/14/2021 14:03
,
,
If you are disgusted by uncle roger like me then don't watch his videos at all. Ironic he is a comedian who tries to make people laugh when he dismisses something like a concentration camp.,1/14/2021 9:53
Amy Walker Of course. Dumb people like you believe BBC is credible news media. No such thing as concentration camps. Use your brain.,1/14/2021 11:58
Tom Choi 😂 ,1/14/2021 12:08
"Ken Candel Tiananmen was the biggest fake news by the Western media when there was no internet for alternative voices and evidence, and news editors strictly controlled the narrative. There wasnt a massacre AT the square courtesy of wikileaks from Julian assange.  Read section 10: ""WHEN POLOFF MENTIONED SOME REPORTEDLY EYEWITNESS ACCOUNTS OF MASSACRES AT THE MONUMENT WITH  AUTOMATIC WEAPONS, GALLO SAID THAT THERE WAS NO SUCH  SLAUGHTER.: https://wikileaks.org/plusd/cables/89BEIJING18828_a.html",1/14/2021 13:10
Tom Choi if BBC is fake news what are you doing here or are you paid to be a CCP propaganda stoodge.,1/14/2021 13:46
Sammy Law To let everyone know its fake news. Isn't it obvious? I can't stand their manipulation and outright lies,1/14/2021 13:47
"Tom Choi suggest you go back reading Global Times and CTGN.  Not a smart decision to read ""fake news"" is it... ",1/14/2021 13:55
"Tom Choi spreading CCP gospel doesn't work, just go, you're not important enough for anyone to listen to.",1/14/2021 13:57
"Ken Candel There was no mass firing at the square, it was fake news. There were skirmishes only.  The attacks happened outside the city, where it was instigated by the students where they burned down the tanks and pulled the soldiers out and burned them alive.. If you have any evidence of the mass -firing, glad you can show me any video, else its BS.",1/14/2021 14:00
"Sammy Law Yea, I support CCP because it's a better than democracy.  It's a terrible system. Just look at the US  😂",1/14/2021 14:02
"Tom Choi course it a terrible system, you like to be grabbed by the nuts and brainwashed up to the eyeballs!! Jackie Chan was right, you need to be controlled lol.",1/14/2021 14:05
Sammy Law Lmao. 0 critical thinking skills. Tell me why democracy is better 😂 If Democracy is so great why is India still a sh*thole,1/14/2021 14:08
Tom Choi I don't agree with you but I am happy that you can be here expressing your opinions,1/15/2021 5:21
Luca Gentile Not an opnion Its a fact. 😂 Democracy is merely a system where 51% of the majority vote to take away the rights of the 49% minority. The biggest mob wins. Mob tyranny.,1/15/2021 5:25
"Tom Choi you are simplifying something very complex. the sentence ""51% take the rights of the 49%"" doesn't make any sense, in fact it is not true as even with that 1% extra a democratic government still needs to compromise  with the opposition. Also there is an alternation of powers, you can have a right wing government  for a while but soon or later left side will take over.",1/15/2021 6:52
Luca Gentile Nah. In India where they are majority hindu they enact laws that are disciminatory to muslims. Thats what is happening kashmir.  Im afraid your theory of alternating powers is just a specific case on certain groups of people.  It wont happen if certain groups who form the large majority are entrenched in their beliefs. Another assumption you make is that these bipartisan groups don't overlap in beliefs. They may have a large overlapping majority that agree on certain issues to the detriment of the minority. If say both groups are majority Christian then you may have problems with issues that arent to the liking of people who dont conform to Chrisrtian values.,1/15/2021 7:02
"Ken Candel China containing the virus way better than the US. You wouldnt be here whining if it wasnt 😂 Also, democracy has nothing to do with freedom of expression.",1/15/2021 8:18
"Ken Candel Teaching radical muslims 'Chinese' to integrate into soceity is de-radicalisation. Which part of your brain doesnt understand that and makes you so eager to support terrorist suicide bombers? 😂 Also SCS is China territory, claim what you want pinay, I don't need to defend it and say it isnt.  What are you gonna do about it？😂",1/15/2021 8:43
Ken Candel I can't talk to gung ho pinays like you that believe fake news BBC. Too brainwashed 😂 Doing a simple youtube search on Uighur terrorist and you an see their bombings.  Are you too lazy to do that? 😂,1/15/2021 9:07
"Ken Candel I don't need to make any argumentative point when someone is too lazy to do research and is pretending to be asleep when they are awake,. 😂",1/15/2021 9:16
Ken Candel you should ignore that brain washed idiot. Don't even tag him. 😂 I'm finding the irony of this comments too hilarious.,1/15/2021 9:17
"Amy Walker Ignore, yet you are here whining . Where's the irony here....😂",1/15/2021 9:18
"Ken Candel Stop messing around with words and trying to sound smart. 😂You cant argue away the suicide bombings in XinJiang, all for you to see on Youtube.",1/15/2021 9:23
"Ken Candel You know why CCP banned FB? Caus they refused to take down suicide bombing terrorist groups because of 'free speech'.  😂 I don't believe in free speech to incite hate and violence, but I guess you do",1/15/2021 9:39
Ken Candel You don't even make any sense 😂 You are clearly arguing for the sake salvaging your argument that you know you lost.,1/15/2021 10:01
Ken Candel Go on..lmao.😂,1/15/2021 10:11
,
,
Ken Candel Lmao.  admit it Youve lost. this is gold. 😂,1/15/2021 12:20
,
,
He knows the CCP  has a long reach,1/14/2021 9:41
,
,
"Nobody on this planet has rights or permission to talk about (against) the communist party of China 🇨🇳 cause rest of the world is slaves to China 🇨🇳 so slaves never had rights to express their ideas,views or anything which goes against their willful. So stay silent if you don’t want to be executed by the People’s Republic of China 🇨🇳.!!!",1/14/2021 17:46
,
,
,
,
I have a friend in Malaysia with a budding career that may be influenced by the CCP. I understand the exigency of any pro-Xi/CCP remarks they make. I will excuse Nigel Ng for this as well.,1/14/2021 10:33
"What people forget is that there are actually agents of the cpc/communist party whose role is to follow Asian celebrities and troll/express anger at any ""anti-chinese""/anti-party content. They make it seem that the ""Chinese fans"" are mad.  (yes there are a portion of Chinese fans that may be die hard supporters of the Party and actually get mad at political speak, I've met them, but there are a lot of state sponsored troll agents online).",1/14/2021 10:45
He's pandering to China and I've no interest in following him again. ,1/14/2021 10:44
How would Chinese fans even watch the video unless they are using a VPN? Which would leave them vulnerable to being arrested. And not to mention using a vpn is an act of rebellion against the CCP regime anyway. If he means Chinese fans in Hong Kong and Taiwan then they are hardly going to be angry about criticising the extreme brutality of the Chinese government ,1/14/2021 17:05
"Yeah in the US they just don't allow anyone critical into the media at all, much more effective",1/14/2021 9:47
"Personal safety is paramount, especially when you don’t know what it means; imprisonments, disappear and many things, not to mention families, friends and associates! ",1/14/2021 20:43
Pls ask China to compensate the world for causing the pandemic. That is more important.,1/14/2021 9:39
That’s because uncle roger is smart and doesn’t like hard labour.. anyone bringing him down feel free to fly out there and make yourself heard 🤔,1/14/2021 9:55
Probably just afraid of what they might do to him or his family; shouldn’t we all be?,1/14/2021 11:27
Self-censorship is the most insidious form of censorship.,1/14/2021 10:22
"All I can say is that I hate Falun Gong, and it's spread of lies about US politics through their BS Epoch Times platform...I think Nigel made the right choice to distance himself.",1/14/2021 20:16
"HKFP_Buzz: YouTuber Mike Chen has urged fellow comic Nigel Ng to do ""his own research"" on the Communist Party after the comedian behind the ""Uncle Roger"" persona apologised to Chinese fans and deleted a video collaboration over Chen's critical stance on Beijing.   ""I do hope that Nigel does his own research on the CCP, and sees for himself if my remarks on China are really 'incorrect.' Living in the UK grants him that basic freedom, something not afforded to the millions under CCP rule,"" Chen told HKFP.",1/14/2021 10:17
Now he hates not only bbc invited egg-fried-rice chef but also bbc news lol,1/14/2021 9:48
"Don’t bow to the Wu Mau...see what I did there? 😉  Seriously, you never have to apologize for criticizing a thug regime who has concentration camps for ethnic minorities, forced organ harvesting, and has annexed every one of its neighbors’ territories, except Russia, but I hear they have their eyes on Vladivostok. ",1/14/2021 10:23
So where is freedom of speech?,1/14/2021 9:45
The Chinese government deserves to be criticized,1/14/2021 9:40
"Maybe Uncle Roger can review the fried rice being served in the Uyghur “re-education camps”, see if they’re using real chili paste  ",1/14/2021 12:48
"PRChina has a strategy of using soft power to change the discourse. For example investing in Africa under its ""one belt one road"" policy. (plundering Africa and Australia for minerals for cell phone batteries for its factories)  Inter alia  Giving the vaccine for free/low upfront cost using the state owned enterprise Sinopharm to needy desperate countries (Indonesia Myanmar Malaysia Singapore etc) to bring them into China's orbit in order to exert CONTROL. Nothing but incentives and bribes to these countries to not raise anything about Tibet, Dalai Lama, incursion in the South China Sea, Taiwan, brain washing of Uighurs, violation of one country two systems rule in Hong Kong etc. This is modern day imperialism and must be stopped! PRChina is f**king dangerous! You have been warned!",1/14/2021 15:57
"The guy just makes funny videos, who cares about his political preferences",1/14/2021 10:19
You mean the Chinese communist dictatorship that puts Uygers in re-education / death camps ?  You mean the same China BBC ignored the Hong Kong riots on?,1/14/2021 9:42
Speech is only Free if you're not in China.,1/14/2021 19:14
How is this news? The UK govt has been cowering in its response to abuse of Uighurs in China.,1/14/2021 14:03
If you are disgusted by uncle roger like me then don't watch his videos at all. Ironic he is a comedian who tries to make people laugh when he dismisses something like a concentration camp.,1/14/2021 9:53
He knows the CCP  has a long reach,1/14/2021 9:41
"Nobody on this planet has rights or permission to talk about (against) the communist party of China 🇨🇳 cause rest of the world is slaves to China 🇨🇳 so slaves never had rights to express their ideas,views or anything which goes against their willful. So stay silent if you don’t want to be executed by the People’s Republic of China 🇨🇳.!!!",1/14/2021 17:46
,
,
"Where is the freedom of speech, oh i forgot its China. 😏",1/14/2021 9:36
"So, of course now people will start with the whole ""China is responsible for the cov... See More",1/14/2021 10:05
"""I have always said that I love China, and I love the kind-hearted Chinese people. They are my people. The CCP, however, is not China and certainly should not be equated to the Chinese people,"" he added.",1/14/2021 17:35
"PRChina has a strategy of using soft power to change the discourse. For example investing in Africa under its ""one belt one road"" policy. (plundering Africa and Australia for minerals for cell phone batteries for its factories)  Inter alia  Giving the vaccine for free/low upfront cost using the state owned enterprise Sinopharm to needy desperate countries (Indonesia Myanmar Malaysia Singapore etc) to bring them into China's orbit in order to exert CONTROL. Nothing but incentives and bribes to these countries to not raise anything about Tibet, Dalai Lama, incursion in the South China Sea, Taiwan, brain washing of Uighurs, violation of one country two systems rule in Hong Kong etc. This is modern day imperialism and must be stopped! PRChina is f**king dangerous! You have been warned!",1/14/2021 15:57
"All I can say is that I hate Falun Gong, and it's spread of lies about US politics through their BS Epoch Times platform...I think Nigel made the right choice to distance himself.",1/14/2021 20:16
Didn't knew about the political affiliation of strictly dumpling but he is a good food vlogger. It would be a step backwards to restrict people's talent and expertise just because you don't like their political or religious views.,1/14/2021 10:00
Speech is only Free if you're not in China.,1/14/2021 19:14
"The guy just makes funny videos, who cares about his political preferences",1/14/2021 10:19
"This is honestly purely because he wants to make it big in China, trust me, CCP haven’t threatened him. ",1/14/2021 22:06
So where is freedom of speech?,1/14/2021 9:45
How is this news? The UK govt has been cowering in its response to abuse of Uighurs in China.,1/14/2021 14:03
"How the world continues to do business with a regime the likes of China that doesn't play fair and censors both foreign and domestic entities at will, is beyond me...",1/14/2021 12:20
"Never like this guy, he's been always leeching on other people's creativities",1/14/2021 12:12
"In Japan, millions of people are criticizing our government about its method on COVID.",1/14/2021 9:52
China is going to take over the world.,1/14/2021 9:40
"Seriously, if he wants to disappear forever then, good on him for deleting it. It's not pandering if it means you don't get murdered or sent to a work camp or prison 🤔🤷‍♀️",1/14/2021 17:00
"Nobody on this planet has rights or permission to talk about (against) the communist party of China 🇨🇳 cause rest of the world is slaves to China 🇨🇳 so slaves never had rights to express their ideas,views or anything which goes against their willful. So stay silent if you don’t want to be executed by the People’s Republic of China 🇨🇳.!!!",1/14/2021 17:46
Uncle ROger should grow a pair and a spine.  I've unsubscribed  from his Youtube channel soon as I heard and I am now going to subscribe to  Mike Chen's channel instead. That dude rocks!,1/14/2021 17:34
"Uncle Roger scared of Auntie ""Re-education camp""",1/14/2021 19:47
"First of all, he made ONE funny video.... ONE... and he is a Malaysian who based in the UK .... even then he has to Kowtow to the RMB ??! weak af just like his msg... ",1/14/2021 11:31
"Why not. He's a comedian but a political activist,. He didn't realize the guy said those things and doesn't want to get involved.",1/15/2021 5:48
Mike Chen posted a statement on Instagram regarding this incident. I hope Uncle Roger can speak more freely and criticize more about CCP.,1/14/2021 11:14
"Doesn't matter what you choose, somebody will always be there to complain and tell you that you are wrong.",1/14/2021 10:56
"Personal safety is paramount, especially when you don’t know what it means; imprisonments, disappear and many things, not to mention families, friends and associates! ",1/14/2021 20:43
"Do you really think that Chinese nationals employed here in senior positions, both private and governmental are not CCP members?",1/14/2021 14:31
,
,
"well we can't upset our overlords at Google and Communist Chinese government, censorship is here, because China gets upset.",1/14/2021 21:07
That censorship is heading this way...,1/15/2021 1:22
"It's about time the CCP watch up with morden living, have a little sense of humour...?!",1/14/2021 9:57
"Has china apologize for  creating a pandemic ,can their apology   bring back those who died from covid",1/14/2021 13:12
Why he need to apologise to China? Seriously.. How many followers from China? Just let go China followers.. Nevermind..,1/14/2021 16:32
I stopped watching uncle Roger when he said that he cannot be shipped with auntie Hersha. 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎,1/14/2021 9:40
Well this is the same drama and reminds me of Logan Paul's Japan controversy before logan delete his video suicide forest. Anyone remember Logan paul did stupid jokes in Japan and Suicide forest?,1/14/2021 20:34
I'm confused. If he criticized china...how is he pandering to them?,1/14/2021 10:39
"Just sprinkle some MSG on it uncle! More flavor, more forgiveness. ",1/14/2021 22:01
In this case Uncle Roger is totally.... See more,1/14/2021 14:21
"Why would anyone apologize for featuring someone who has criticized anyone if you weren’t pandering to those that were criticized?   Oh I forgot, the BBC only injects it’s own opinion as fact when it’s slagging off Donald trump.  Some might consider this rare impartiality as the BBC pandering to China 😂",1/14/2021 22:53
he doesnt want to lose his fan base in china of course his earnings from it.,1/14/2021 13:11
Self censorship while living in a free country!!!  It’s tough. I like his videos!,1/14/2021 9:40
They're just jealous of his fried rice cooking skills. 😀,1/14/2021 10:19
"""Pandering""... I like what they did there. 🐼",1/14/2021 11:19
Haiya~ Unsubscribe and unfollow Uncle Roger-ed ,1/14/2021 22:10
When RMB is better than MSG,1/14/2021 15:26
Uncle roger : RMB is the advanced version of MSG. RMB is the king of flavor   Hiyaaaa that's why auntie Helen left you,1/14/2021 12:08
"Whats wrong? They were just talking about ugly dumplings correct? Host invited a wrong guest , thats all. If he invited auntie hersha or anybody else, Im pretty sure it wouldn’t go wrong. ",1/14/2021 10:36
Any news on the missing billionaire?,1/14/2021 9:45
Can't he just eat a Brexit carrot and shut up...,1/14/2021 14:37
Sad how everyone panders to the CCP while they commit genocide of their own minority groups. ,1/14/2021 18:28
"lmao, he's been teasing Chinese like their accent, their weird behaviours, portraying them like a farmer goes into a big city, and he wants a Chinese market?",1/14/2021 11:54
BBC’s revenge on uncle roger,1/14/2021 12:55
那個Uncle Roger酸過BBC怎麼做蛋炒飯，BBC的記者能教教Uncle Roger怎麼站起來做中立的媒體人嗎,1/14/2021 10:03
,
,
RMB is the new MSG I guess?,1/14/2021 21:17
Never trust a party that you could  blindfold any member with your bootlace,1/14/2021 10:11
Ayyyaaaaaaaaaaa! Uncle Roger lost my respect. Shame,1/14/2021 9:57
RMB better than MSG to him,1/14/2021 9:37
"Why sooo weak, sooooo weakkk?",1/14/2021 14:06
"Comedians stand no chance, if fate of billionaires change in a moment.",1/14/2021 19:53
If he knows what's good for him. The right move.,1/14/2021 12:13
